contract_id,source_length,parse_time,stg_build_time,detection_time,total_static_time
sb_5569c2a65ebe,632,0.00033510000000092077,1.6000000186977559e-06,9.999999406318238e-08,0.0003368000000136817
sb_98b4c8b45c2e,800,0.0003150000000005093,2.2000000114985596e-06,9.999999406318238e-08,0.00031730000000607106
sb_40ffea56c722,585,0.00021110000000135187,2.599999987751289e-06,9.999999406318238e-08,0.00021379999998316634
sb_15724a9aecd2,36387,1.680768999999998,2.4000000024670953e-05,1.0000002248489182e-07,1.6807931000000451
sb_71314df3e4ae,796,0.00035250000001951776,3.4999999911633495e-06,9.999999406318238e-08,0.0003561000000047443
sb_ae857a540336,1684,0.0009091000000012173,7.800000020097286e-06,9.999999406318238e-08,0.0009170000000153777
sb_290568dbb990,1173,0.0006698999999912303,6.8999999882635166e-06,9.999999406318238e-08,0.000676899999973557
sb_e8a01542ffe1,832,0.00038010000000099353,2.8999999983625457e-06,9.999999406318238e-08,0.00038309999999341926
sb_618aed944205,720,0.0002755999999806136,2.099999989013668e-06,9.999999406318238e-08,0.0002777999999636904
sb_52fa5d86b7ee,428,0.00020459999998934109,1.499999996212864e-06,9.999999406318238e-08,0.00020619999997961713
sb_cd990cb200f2,6001,0.005244000000004689,6.100000007336348e-06,1.0000002248489182e-07,0.005250200000034511
sb_25e13af95fec,228,0.00026289999999562497,2.999999992425728e-06,9.999999406318238e-08,0.0002659999999821139
sb_fe2fb0a0e173,15595,0.03889730000000213,2.159999999662432e-05,9.999999406318238e-08,0.03891899999999282
sb_b9c32c34e06c,506,0.00018430000000080327,2.6999999818144715e-06,1.0000002248489182e-07,0.00018710000000510263
sb_580b0f56fdf0,1851,0.0007882999999822005,3.999999989900971e-06,1.0000002248489182e-07,0.0007923999999945863
sb_09a3eae97339,1920,0.0008138000000030843,3.8999999958377884e-06,1.9999998812636477e-07,0.0008178999999870484
sb_9d63f8963eb9,747,0.00032299999998031126,2.6000000161729986e-06,1.0000002248489182e-07,0.00032570000001896915
sb_e90a79d67f37,9420,0.0030892999999991844,1.3899999999011925e-05,2.000000165480742e-07,0.0031034000000147444
sb_dd5cf99587e4,510,0.000384700000012117,5.499999986113835e-06,9.999999406318238e-08,0.00039029999999229403
sb_e5d6223f6436,719,0.0006300000000010186,3.4999999911633495e-06,9.999999406318238e-08,0.0006335999999862452
sb_5161d297128e,509,0.00031490000000644613,3.2000000089738023e-06,1.0000002248489182e-07,0.00031820000003790483
sb_d933f98498dd,570,0.0006578999999931057,1.190000000406144e-05,2.000000165480742e-07,0.0006700000000137152
sb_1d9d1408bc11,799,0.012296700000007377,6.600000006073969e-06,9.999999406318238e-08,0.012303400000007514
sb_84a947d088b9,746,0.00033199999998601015,2.999999992425728e-06,9.999999406318238e-08,0.00033509999997249906
sb_893c008c441e,735,0.0006269000000145297,6.2000000013995304e-06,9.999999406318238e-08,0.0006332000000099924
sb_db71d5e85c2a,1748,0.0010087999999939257,5.7999999967250915e-06,9.999999406318238e-08,0.001014699999984714
sb_bfb5d42d860b,96751,1.1029847000000075,4.1699999997035775e-05,1.9999998812636477e-07,1.1030265999999926
